suite,benchmark,experiment,name,decision
holistic-optimization,ceb,join order (q2a2),"mutable (single core, auto)",split (DPccp)
holistic-optimization,ceb,join order (q3b0a3),"mutable (single core, auto)",split (DPccp)
holistic-optimization,ceb,join order (q5a2),"mutable (single core, auto)",split (DPccp)
holistic-optimization,ceb,join order (q6a7),"mutable (single core, auto)",split (DPccp)
holistic-optimization,ceb,join order (q9b0cb),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q11a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q12a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q12c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q13b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q14a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q14b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q14c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q15b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q17b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q18a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q18b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q19d),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q20c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q21a),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q21c),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q22a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q22b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q22c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q22d),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q23b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q24a),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q25b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q26b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q26c),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q27b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q28b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q29a),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q31b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,join order (q33b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q3a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q6a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q8a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,join order (q8c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q15a),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,sortedness (q18b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q19a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q20b),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q21b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,sortedness (q26a),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,sortedness (q28b),"mutable (single core, auto)",top-10 (DPccp)
holistic-optimization,job,sortedness (q5c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q7c),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q8d),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q9a),"mutable (single core, auto)",split (DPccp)
holistic-optimization,job,sortedness (q9d),"mutable (single core, auto)",split (DPccp)
holistic-optimization,tpch,fused (q3),"mutable (single core, auto)",split (DPccp)
